// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 15 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln or .csproj file. Will use current directory D:\HierarchyKit to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\obj\Release\net10.0/" /p:OutDir="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" /p:OutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7
// command took 0.73 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\obj\Release\net10.0/" /p:OutDir="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" /p:OutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" --output "D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7
// command took 3.99 sec and exited with 0
// ***** Done, took 00:00:04 (4.78 sec)   *****
// Found 15 benchmarks:
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f708123d-25c8-4862-a51c-d2fd081c87d7.dll --anonymousPipes 2056 2144 --benchmarkName "HierarchyBenchmarks.Add(NodeCount: 100)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.12 (10.0.1226.42308), X64 RyuJIT AVX2
// GC=Non-concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-HOTHSI(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 175000.00 ns, 175.0000 us/op
WorkloadResult  50: 1 op, 31200.00 ns, 31.2000 us/op
WorkloadResult  51: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadResult  52: 1 op, 32900.00 ns, 32.9000 us/op
WorkloadResult  53: 1 op, 35900.00 ns, 35.9000 us/op
WorkloadResult  54: 1 op, 34400.00 ns, 34.4000 us/op
WorkloadResult  55: 1 op, 38300.00 ns, 38.3000 us/op
WorkloadResult  56: 1 op, 38000.00 ns, 38.0000 us/op
WorkloadResult  57: 1 op, 33400.00 ns, 33.4000 us/op
WorkloadResult  58: 1 op, 31300.00 ns, 31.3000 us/op
WorkloadResult  59: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadResult  60: 1 op, 36300.00 ns, 36.3000 us/op
WorkloadResult  61: 1 op, 37200.00 ns, 37.2000 us/op
WorkloadResult  62: 1 op, 35000.00 ns, 35.0000 us/op
WorkloadResult  63: 1 op, 34700.00 ns, 34.7000 us/op
WorkloadResult  64: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadResult  65: 1 op, 34900.00 ns, 34.9000 us/op
WorkloadResult  66: 1 op, 36500.00 ns, 36.5000 us/op
WorkloadResult  67: 1 op, 36100.00 ns, 36.1000 us/op
WorkloadResult  68: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadResult  69: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadResult  70: 1 op, 32700.00 ns, 32.7000 us/op
WorkloadResult  71: 1 op, 33300.00 ns, 33.3000 us/op
WorkloadResult  72: 1 op, 34500.00 ns, 34.5000 us/op
WorkloadResult  73: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  74: 1 op, 36300.00 ns, 36.3000 us/op
WorkloadResult  75: 1 op, 35700.00 ns, 35.7000 us/op
WorkloadResult  76: 1 op, 31000.00 ns, 31.0000 us/op
WorkloadResult  77: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadResult  78: 1 op, 36300.00 ns, 36.3000 us/op
WorkloadResult  79: 1 op, 58200.00 ns, 58.2000 us/op
WorkloadResult  80: 1 op, 53200.00 ns, 53.2000 us/op
WorkloadResult  81: 1 op, 34800.00 ns, 34.8000 us/op
WorkloadResult  82: 1 op, 58000.00 ns, 58.0000 us/op
WorkloadResult  83: 1 op, 52000.00 ns, 52.0000 us/op
WorkloadResult  84: 1 op, 52000.00 ns, 52.0000 us/op
WorkloadResult  85: 1 op, 57000.00 ns, 57.0000 us/op
WorkloadResult  86: 1 op, 53300.00 ns, 53.3000 us/op
WorkloadResult  87: 1 op, 55500.00 ns, 55.5000 us/op
WorkloadResult  88: 1 op, 56900.00 ns, 56.9000 us/op
WorkloadResult  89: 1 op, 53400.00 ns, 53.4000 us/op
WorkloadResult  90: 1 op, 50500.00 ns, 50.5000 us/op
WorkloadResult  91: 1 op, 52200.00 ns, 52.2000 us/op
WorkloadResult  92: 1 op, 51200.00 ns, 51.2000 us/op
WorkloadResult  93: 1 op, 52700.00 ns, 52.7000 us/op
WorkloadResult  94: 1 op, 53100.00 ns, 53.1000 us/op
WorkloadResult  95: 1 op, 59600.00 ns, 59.6000 us/op
WorkloadResult  96: 1 op, 54100.00 ns, 54.1000 us/op
WorkloadResult  97: 1 op, 52800.00 ns, 52.8000 us/op
WorkloadResult  98: 1 op, 54600.00 ns, 54.6000 us/op
WorkloadResult  99: 1 op, 50000.00 ns, 50.0000 us/op
// GC:  0 0 0 137744 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 24152 has exited with code 0.

Mean = 39.488 μs, StdErr = 0.843 μs (2.14%), N = 99, StdDev = 8.390 μs
Min = 30.300 μs, Q1 = 33.700 μs, Median = 35.900 μs, Q3 = 42.100 μs, Max = 59.600 μs
IQR = 8.400 μs, LowerFence = 21.100 μs, UpperFence = 54.700 μs
ConfidenceInterval = [36.627 μs; 42.349 μs] (CI 99.9%), Margin = 2.861 μs (7.24% of Mean)
Skewness = 1.04, Kurtosis = 2.53, MValue = 2.71

// ** Remained 2 (13,3%) benchmark(s) to run. Estimated finish 2026-09-11 16:11 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f708123d-25c8-4862-a51c-d2fd081c87d7.dll --anonymousPipes 1660 1676 --benchmarkName "HierarchyBenchmarks.GetChildren(NodeCount: 5000)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 13 in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.12 (10.0.1226.42308), X64 RyuJIT AVX2
// GC=Non-concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-UHRPNT(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 186400.00 ns, 186.4000 us/op
WorkloadJitting  1: 1 op, 1011400.00 ns, 1.0114 ms/op

OverheadWarmup   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   6: 1 op, 100.00 ns, 100.0000 ns/op

OverheadActual   1: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   6: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   7: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  10: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  13: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  14: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  15: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  16: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  17: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 300.00 ns, 300.0000 ns/op

WorkloadWarmup   1: 1 op, 116800.00 ns, 116.8000 us/op
WorkloadWarmup   2: 1 op, 562600.00 ns, 562.6000 us/op
WorkloadWarmup   3: 1 op, 53800.00 ns, 53.8000 us/op
WorkloadWarmup   4: 1 op, 51100.00 ns, 51.1000 us/op
WorkloadWarmup   5: 1 op, 51800.00 ns, 51.8000 us/op
WorkloadWarmup   6: 1 op, 51200.00 ns, 51.2000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 52100.00 ns, 52.1000 us/op
WorkloadActual   2: 1 op, 48400.00 ns, 48.4000 us/op
WorkloadActual   3: 1 op, 49300.00 ns, 49.3000 us/op
WorkloadActual   4: 1 op, 72000.00 ns, 72.0000 us/op
WorkloadActual   5: 1 op, 206200.00 ns, 206.2000 us/op
WorkloadActual   6: 1 op, 183200.00 ns, 183.2000 us/op
WorkloadActual   7: 1 op, 155600.00 ns, 155.6000 us/op
WorkloadActual   8: 1 op, 47000.00 ns, 47.0000 us/op
WorkloadActual   9: 1 op, 47800.00 ns, 47.8000 us/op
WorkloadActual  10: 1 op, 56200.00 ns, 56.2000 us/op
WorkloadActual  11: 1 op, 54100.00 ns, 54.1000 us/op
WorkloadActual  12: 1 op, 52000.00 ns, 52.0000 us/op
WorkloadActual  13: 1 op, 48800.00 ns, 48.8000 us/op
WorkloadActual  14: 1 op, 51700.00 ns, 51.7000 us/op
WorkloadActual  15: 1 op, 43900.00 ns, 43.9000 us/op
WorkloadActual  16: 1 op, 46100.00 ns, 46.1000 us/op
WorkloadActual  17: 1 op, 46100.00 ns, 46.1000 us/op
WorkloadActual  18: 1 op, 43900.00 ns, 43.9000 us/op
WorkloadActual  19: 1 op, 47900.00 ns, 47.9000 us/op
WorkloadActual  20: 1 op, 41800.00 ns, 41.8000 us/op
WorkloadActual  21: 1 op, 41800.00 ns, 41.8000 us/op
WorkloadActual  22: 1 op, 39500.00 ns, 39.5000 us/op
WorkloadActual  23: 1 op, 39900.00 ns, 39.9000 us/op
WorkloadActual  24: 1 op, 38900.00 ns, 38.9000 us/op
WorkloadActual  25: 1 op, 37300.00 ns, 37.3000 us/op
WorkloadActual  26: 1 op, 48300.00 ns, 48.3000 us/op
WorkloadActual  27: 1 op, 43200.00 ns, 43.2000 us/op
WorkloadActual  28: 1 op, 45000.00 ns, 45.0000 us/op
WorkloadActual  29: 1 op, 45300.00 ns, 45.3000 us/op
WorkloadActual  30: 1 op, 45500.00 ns, 45.5000 us/op
WorkloadActual  31: 1 op, 40000.00 ns, 40.0000 us/op
WorkloadActual  32: 1 op, 39800.00 ns, 39.8000 us/op
WorkloadActual  33: 1 op, 39100.00 ns, 39.1000 us/op
WorkloadActual  34: 1 op, 44100.00 ns, 44.1000 us/op
WorkloadActual  35: 1 op, 41900.00 ns, 41.9000 us/op
WorkloadActual  36: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadActual  37: 1 op, 41700.00 ns, 41.7000 us/op
WorkloadActual  38: 1 op, 41600.00 ns, 41.6000 us/op
WorkloadActual  39: 1 op, 42800.00 ns, 42.8000 us/op
WorkloadActual  40: 1 op, 43000.00 ns, 43.0000 us/op
WorkloadActual  41: 1 op, 41300.00 ns, 41.3000 us/op
WorkloadActual  42: 1 op, 46300.00 ns, 46.3000 us/op
WorkloadActual  43: 1 op, 46300.00 ns, 46.3000 us/op
WorkloadActual  44: 1 op, 41900.00 ns, 41.9000 us/op
WorkloadActual  45: 1 op, 42700.00 ns, 42.7000 us/op
WorkloadActual  46: 1 op, 39900.00 ns, 39.9000 us/op
WorkloadActual  47: 1 op, 37100.00 ns, 37.1000 us/op
WorkloadActual  48: 1 op, 43800.00 ns, 43.8000 us/op
WorkloadActual  49: 1 op, 42900.00 ns, 42.9000 us/op
WorkloadActual  50: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadActual  51: 1 op, 41300.00 ns, 41.3000 us/op
WorkloadActual  52: 1 op, 41500.00 ns, 41.5000 us/op
WorkloadActual  53: 1 op, 41300.00 ns, 41.3000 us/op
WorkloadActual  54: 1 op, 40900.00 ns, 40.9000 us/op
WorkloadActual  55: 1 op, 40100.00 ns, 40.1000 us/op
WorkloadActual  56: 1 op, 40400.00 ns, 40.4000 us/op
WorkloadActual  57: 1 op, 41500.00 ns, 41.5000 us/op
WorkloadActual  58: 1 op, 43200.00 ns, 43.2000 us/op
WorkloadActual  59: 1 op, 42500.00 ns, 42.5000 us/op
WorkloadActual  60: 1 op, 41400.00 ns, 41.4000 us/op
WorkloadActual  61: 1 op, 40600.00 ns, 40.6000 us/op
WorkloadActual  62: 1 op, 46100.00 ns, 46.1000 us/op
WorkloadActual  63: 1 op, 40200.00 ns, 40.2000 us/op
WorkloadActual  64: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadActual  65: 1 op, 43000.00 ns, 43.0000 us/op
WorkloadActual  66: 1 op, 40500.00 ns, 40.5000 us/op
WorkloadActual  67: 1 op, 41500.00 ns, 41.5000 us/op
WorkloadActual  68: 1 op, 40700.00 ns, 40.7000 us/op
WorkloadActual  69: 1 op, 41600.00 ns, 41.6000 us/op
WorkloadActual  70: 1 op, 43300.00 ns, 43.3000 us/op
WorkloadActual  71: 1 op, 39800.00 ns, 39.8000 us/op
WorkloadActual  72: 1 op, 40700.00 ns, 40.7000 us/op
WorkloadActual  73: 1 op, 48000.00 ns, 48.0000 us/op
WorkloadActual  74: 1 op, 42300.00 ns, 42.3000 us/op
WorkloadActual  75: 1 op, 40100.00 ns, 40.1000 us/op
WorkloadActual  76: 1 op, 46800.00 ns, 46.8000 us/op
WorkloadActual  77: 1 op, 42700.00 ns, 42.7000 us/op
WorkloadActual  78: 1 op, 41300.00 ns, 41.3000 us/op
WorkloadActual  79: 1 op, 43400.00 ns, 43.4000 us/op
WorkloadActual  80: 1 op, 39500.00 ns, 39.5000 us/op
WorkloadActual  81: 1 op, 55500.00 ns, 55.5000 us/op
WorkloadActual  82: 1 op, 41500.00 ns, 41.5000 us/op
WorkloadActual  83: 1 op, 44400.00 ns, 44.4000 us/op
WorkloadActual  84: 1 op, 42800.00 ns, 42.8000 us/op
WorkloadActual  85: 1 op, 46200.00 ns, 46.2000 us/op
WorkloadActual  86: 1 op, 40800.00 ns, 40.8000 us/op
WorkloadActual  87: 1 op, 43500.00 ns, 43.5000 us/op
WorkloadActual  88: 1 op, 41500.00 ns, 41.5000 us/op
WorkloadActual  89: 1 op, 43000.00 ns, 43.0000 us/op
WorkloadActual  90: 1 op, 65300.00 ns, 65.3000 us/op
WorkloadActual  91: 1 op, 63200.00 ns, 63.2000 us/op
WorkloadActual  92: 1 op, 65600.00 ns, 65.6000 us/op
WorkloadActual  93: 1 op, 65300.00 ns, 65.3000 us/op
WorkloadActual  94: 1 op, 64300.00 ns, 64.3000 us/op
WorkloadActual  95: 1 op, 64100.00 ns, 64.1000 us/op
WorkloadActual  96: 1 op, 62900.00 ns, 62.9000 us/op
WorkloadActual  97: 1 op, 63100.00 ns, 63.1000 us/op
WorkloadActual  98: 1 op, 430800.00 ns, 430.8000 us/op
WorkloadActual  99: 1 op, 63800.00 ns, 63.8000 us/op
WorkloadActual  100: 1 op, 63400.00 ns, 63.4000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 52000.00 ns, 52.0000 us/op
WorkloadResult   2: 1 op, 48300.00 ns, 48.3000 us/op
WorkloadResult   3: 1 op, 49200.00 ns, 49.2000 us/op
WorkloadResult   4: 1 op, 46900.00 ns, 46.9000 us/op
WorkloadResult   5: 1 op, 47700.00 ns, 47.7000 us/op
WorkloadResult   6: 1 op, 56100.00 ns, 56.1000 us/op
WorkloadResult   7: 1 op, 54000.00 ns, 54.0000 us/op
WorkloadResult   8: 1 op, 51900.00 ns, 51.9000 us/op
WorkloadResult   9: 1 op, 48700.00 ns, 48.7000 us/op
WorkloadResult  10: 1 op, 51600.00 ns, 51.6000 us/op
WorkloadResult  11: 1 op, 43800.00 ns, 43.8000 us/op
WorkloadResult  12: 1 op, 46000.00 ns, 46.0000 us/op
WorkloadResult  13: 1 op, 46000.00 ns, 46.0000 us/op
WorkloadResult  14: 1 op, 43800.00 ns, 43.8000 us/op
WorkloadResult  15: 1 op, 47800.00 ns, 47.8000 us/op
WorkloadResult  16: 1 op, 41700.00 ns, 41.7000 us/op
WorkloadResult  17: 1 op, 41700.00 ns, 41.7000 us/op
WorkloadResult  18: 1 op, 39400.00 ns, 39.4000 us/op
WorkloadResult  19: 1 op, 39800.00 ns, 39.8000 us/op
WorkloadResult  20: 1 op, 38800.00 ns, 38.8000 us/op
WorkloadResult  21: 1 op, 37200.00 ns, 37.2000 us/op
WorkloadResult  22: 1 op, 48200.00 ns, 48.2000 us/op
WorkloadResult  23: 1 op, 43100.00 ns, 43.1000 us/op
WorkloadResult  24: 1 op, 44900.00 ns, 44.9000 us/op
WorkloadResult  25: 1 op, 45200.00 ns, 45.2000 us/op
WorkloadResult  26: 1 op, 45400.00 ns, 45.4000 us/op
WorkloadResult  27: 1 op, 39900.00 ns, 39.9000 us/op
WorkloadResult  28: 1 op, 39700.00 ns, 39.7000 us/op
WorkloadResult  29: 1 op, 39000.00 ns, 39.0000 us/op
WorkloadResult  30: 1 op, 44000.00 ns, 44.0000 us/op
WorkloadResult  31: 1 op, 41800.00 ns, 41.8000 us/op
WorkloadResult  32: 1 op, 41100.00 ns, 41.1000 us/op
WorkloadResult  33: 1 op, 41600.00 ns, 41.6000 us/op
WorkloadResult  34: 1 op, 41500.00 ns, 41.5000 us/op
WorkloadResult  35: 1 op, 42700.00 ns, 42.7000 us/op
WorkloadResult  36: 1 op, 42900.00 ns, 42.9000 us/op
WorkloadResult  37: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadResult  38: 1 op, 46200.00 ns, 46.2000 us/op
WorkloadResult  39: 1 op, 46200.00 ns, 46.2000 us/op
WorkloadResult  40: 1 op, 41800.00 ns, 41.8000 us/op
WorkloadResult  41: 1 op, 42600.00 ns, 42.6000 us/op
WorkloadResult  42: 1 op, 39800.00 ns, 39.8000 us/op
WorkloadResult  43: 1 op, 37000.00 ns, 37.0000 us/op
WorkloadResult  44: 1 op, 43700.00 ns, 43.7000 us/op
WorkloadResult  45: 1 op, 42800.00 ns, 42.8000 us/op
WorkloadResult  46: 1 op, 41100.00 ns, 41.1000 us/op
WorkloadResult  47: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadResult  48: 1 op, 41400.00 ns, 41.4000 us/op
WorkloadResult  49: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadResult  50: 1 op, 40800.00 ns, 40.8000 us/op
WorkloadResult  51: 1 op, 40000.00 ns, 40.0000 us/op
WorkloadResult  52: 1 op, 40300.00 ns, 40.3000 us/op
WorkloadResult  53: 1 op, 41400.00 ns, 41.4000 us/op
WorkloadResult  54: 1 op, 43100.00 ns, 43.1000 us/op
WorkloadResult  55: 1 op, 42400.00 ns, 42.4000 us/op
WorkloadResult  56: 1 op, 41300.00 ns, 41.3000 us/op
WorkloadResult  57: 1 op, 40500.00 ns, 40.5000 us/op
WorkloadResult  58: 1 op, 46000.00 ns, 46.0000 us/op
WorkloadResult  59: 1 op, 40100.00 ns, 40.1000 us/op
WorkloadResult  60: 1 op, 41100.00 ns, 41.1000 us/op
WorkloadResult  61: 1 op, 42900.00 ns, 42.9000 us/op
WorkloadResult  62: 1 op, 40400.00 ns, 40.4000 us/op
WorkloadResult  63: 1 op, 41400.00 ns, 41.4000 us/op
WorkloadResult  64: 1 op, 40600.00 ns, 40.6000 us/op
WorkloadResult  65: 1 op, 41500.00 ns, 41.5000 us/op
WorkloadResult  66: 1 op, 43200.00 ns, 43.2000 us/op
WorkloadResult  67: 1 op, 39700.00 ns, 39.7000 us/op
WorkloadResult  68: 1 op, 40600.00 ns, 40.6000 us/op
WorkloadResult  69: 1 op, 47900.00 ns, 47.9000 us/op
WorkloadResult  70: 1 op, 42200.00 ns, 42.2000 us/op
WorkloadResult  71: 1 op, 40000.00 ns, 40.0000 us/op
WorkloadResult  72: 1 op, 46700.00 ns, 46.7000 us/op
WorkloadResult  73: 1 op, 42600.00 ns, 42.6000 us/op
WorkloadResult  74: 1 op, 41200.00 ns, 41.2000 us/op
WorkloadResult  75: 1 op, 43300.00 ns, 43.3000 us/op
WorkloadResult  76: 1 op, 39400.00 ns, 39.4000 us/op
WorkloadResult  77: 1 op, 55400.00 ns, 55.4000 us/op
WorkloadResult  78: 1 op, 41400.00 ns, 41.4000 us/op
WorkloadResult  79: 1 op, 44300.00 ns, 44.3000 us/op
WorkloadResult  80: 1 op, 42700.00 ns, 42.7000 us/op
WorkloadResult  81: 1 op, 46100.00 ns, 46.1000 us/op
WorkloadResult  82: 1 op, 40700.00 ns, 40.7000 us/op
WorkloadResult  83: 1 op, 43400.00 ns, 43.4000 us/op
WorkloadResult  84: 1 op, 41400.00 ns, 41.4000 us/op
WorkloadResult  85: 1 op, 42900.00 ns, 42.9000 us/op
// GC:  0 0 0 60192 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 7824 has exited with code 0.

Mean = 43.394 μs, StdErr = 0.422 μs (0.97%), N = 85, StdDev = 3.889 μs
Min = 37.000 μs, Q1 = 41.100 μs, Median = 42.400 μs, Q3 = 45.400 μs, Max = 56.100 μs
IQR = 4.300 μs, LowerFence = 34.650 μs, UpperFence = 51.850 μs
ConfidenceInterval = [41.955 μs; 44.833 μs] (CI 99.9%), Margin = 1.439 μs (3.32% of Mean)
Skewness = 1.27, Kurtosis = 4.42, MValue = 2.21

// ** Remained 1 (6,7%) benchmark(s) to run. Estimated finish 2026-09-11 16:11 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f708123d-25c8-4862-a51c-d2fd081c87d7.dll --anonymousPipes 2080 1640 --benchmarkName "HierarchyBenchmarks.Descendants(NodeCount: 5000)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 14 in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.12 (10.0.1226.42308), X64 RyuJIT AVX2
// GC=Non-concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-SHGLEN(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 177200.00 ns, 177.2000 us/op
WorkloadJitting  1: 1 op, 3738100.00 ns, 3.7381 ms/op

OverheadWarmup   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   5: 1 op, 100.00 ns, 100.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   5: 1 op, 100.00 ns, 100.0000 ns/op
